artikel_id;udbud_id;url;udd6;Titel;Educational_Category;displaydocclass;kaldenavn;hovedinst;hovedinsttx;instkommune;instkommunetx;instregion;instregiontx;afbrud_statusaar;afbrud_n;afbrud;afbrud_aggr;timetal_statusaar;timetal_OfSupervision;timetal_WithFewStudents;timetal_WithManyStudents;branche_statusaar;branche_n;branchepct1;branchepct2;branchepct3;branchepct4;branchetxt1;branchetxt2;branchetxt3;branchetxt4;offt_privat;ledighed_nyudd_statusaar;ledighed_nyudd_n;ledighed_nyudd;ledighed_nyudd_aggr;maanedloen_nyudd_statusaar;maanedloen_nyudd_n;maanedloen_nyudd;maanedloenp25_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_aggr;ledighed_10aar_statusaar;ledighed_10aar_n;ledighed_10aar;ledighed_10aar_aggr;maanedloen_10aar_statusaar;maanedloen_10aar_n;maanedloen_10aar;maanedloenp25_10aar;maanedloenp75_10aar;maanedloen_10aar_aggr;studbesvarelser_antal;studbesvarelser_pct;fagligmiljo_statusaar;fagligmiljo_n;fagligmiljo_ntotal;fagligmiljo_likert;arbmedstud_statusaar;arbmedstud_n;arbmedstud_ntotal;arbmedstud_likert;medstuderende_n;medstuderende_ntotal;medstuderende_likert;medstuderende_statusaar;socialtmiljo_statusaar;socialtmiljo_n;socialtmiljo_ntotal;socialtmiljo_likert;tidsforbrug_p50;tidsforbrug_undv_pct;tidsforbrug_n;tidsforbrug_arbejde;tidsforbrug_arbejde_n;tidsforbrug_studjob_pct;udb_undervisning_statusaar;udbytte_undervisning_n;udbytte_undervisning_ntotal;udbytte_undervisning_likert;uddaktivitet_opgaver_pct;uddaktivitet_praktik_pct;uddaktivitet_statusaar;uddaktivitet_udlandsophold_pct;uddaktivitet_undervisning_pct;und_engagerede_statusaar;undervisere_engagerede_n;undervisere_engagerede_ntotal;undervisere_engagerede_likert;und_feedback_statusaar;undervisere_feedback_n;undervisere_feedback_ntotal;undervisere_feedback_likert;und_hjaelp_statusaar;undervisere_hjaelp_n;undervisere_hjaelp_ntotal;undervisere_hjaelp_likert;und_kontakt_statusaar;undervisere_kontakt_n;undervisere_kontakt_ntotal;undervisere_kontakt_likert;undervisningsform_statusaar;undervisningsform_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;ensom_statusaar;ensom_n;ensom_ntotal;ensom_likert;ensom_altid;ensom_ofte;ensom_nogle;ensom_sjaeldent;ensom_aldrig;stress_daglig_statusaar;stress_daglig_n;stress_daglig_ntotal;stress_daglig_likert;stress_daglig_altid;stress_daglig_ofte;stress_daglig_nogle;stress_daglig_sjaeldent;stress_daglig_aldrig;tilpas_statusaar;tilpas_n;tilpas_ntotal;tilpas_likert;dimbesvarelser_antal;dimbesvarelser_pct;foerstejob_statusaar;foerstejob_n;foerstejob1pct;foerstejob1tx;foerstejob2pct;foerstejob2tx;foerstejob3pct;foerstejob3tx;foerstejob4pct;foerstejob4tx;arbejdsform_statusaar;arbejdsform_n;arbejdsform_fastedagtimer_pct;arbejdsform_faste_aften_nat_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdstid_statusaar;arbejdstid_n;arbejdstid_timer;jobskabende_statusaar;jobskabende_n;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;kompetencerudd_statusaar;kompetencerudd_n;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;rel_over_udd_job_statusaar;relevans_overens_udd_job_n;relevans_overens_udd_job_ntotal;relevans_overens_udd_job_likert;ruster_til_job_statusaar;ruster_til_job_n;ruster_til_job_ntotal;ruster_til_job_likert;udlandet_statusaar;udlandet_n;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;hyppigsteid1;hyppigsteid2;hyppigsteid3;hyppigstepct1;hyppigstepct2;hyppigstepct3;hyppigstetx1;hyppigstetx2;hyppigstetx3;hyppigste_statusaar;hyppigste_n
udb-faergenavigatoer;443401;www.ug.dk/uddannelser/andreerhvervsrettedeuddannelser/andreuddannelserforunge/faergenavigatoer;201900;Færgenavigatør;Andre uddannelser;Andre uddannelser;;443401;Marstal Navigationsskole;492;Ærø;1083;Syddanmark;202110-202409;21;5;;Ingen data;;;;202111-202311;35;69;11;6;14;Transport;Offentlig administration, forsvar og politi;Landbrug, skovbrug og fiskeri;Øvrige brancher;29;202104-202412;19;3;;202101-202312;9;37.050;28.600;43.650;Institutionstal for undergruppe: Maritime uddannelser, erhvervsfaglige;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb-faergenavigatoer;999999;www.ug.dk/uddannelser/andreerhvervsrettedeuddannelser/andreuddannelserforunge/faergenavigatoer;201900;Færgenavigatør;Andre uddannelser;Andre uddannelser;;999999;Uddannelsen på landsplan;;;;;202110-202409;21;5;;Ingen data;;;;202111-202311;35;69;11;6;14;Transport;Offentlig administration, forsvar og politi;Landbrug, skovbrug og fiskeri;Øvrige brancher;29;202104-202412;19;3;;202101-202312;9;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;101616;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;101604;Københavns Erhvervsakademi (KEA);101;København;1084;Hovedstaden;202110-202409;55;18;;E2024F2025;7;330;0;202111-202311;81;68;23;2;6;Bygge og anlæg;Videnservice;Rejsebureauer, rengøring og anden operationel service;Øvrige brancher;99;202104-202412;25;0;;202101-202312;14;48.950;46.000;55.100;;Ingen data;;;;Ingen data;;;;;;32;86;202310-202312;32;32;4,19;202310-202312;32;32;4,22;32;32;4,06;202310-202312;202310-202312;32;32;4,22;37,0;68;32;16,0;10;65;202310-202312;32;32;3,88;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;32;32;4,47;202310-202312;32;32;3,72;202310-202312;32;32;4,06;202310-202312;31;32;4,03;202310-202312;32;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);Faglig vejledning fra din underviser;202310-202312;30;32;4,33;3,00;3,00;10,00;23,00;60,00;202310-202312;32;32;3,75;0,00;22,00;19,00;22,00;38,00;202310-202312;32;32;4,19;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;259408;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;259404;Zealand Sjællands Erhvervsakademi;370;Næstved;1085;Sjælland;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;461453;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;630401;UCL Erhvervsakademi og Professionshøjskole;461;Odense;1083;Syddanmark;202110-202409;20;5;;E2024F2025;12;300;0;202111-202311;40;65;18;8;10;Bygge og anlæg;Videnservice;Undervisning;Øvrige brancher;93;202104-202412;15;3;;202101-202312;8;39.000;33.100;44.400;Institutionstal for undergruppe: Tekniske område, EA;Ingen data;;;;Ingen data;;;;;;15;100;202310-202312;15;15;4,13;202310-202312;15;15;4,47;15;15;4,33;202310-202312;202310-202312;15;15;4,40;44,0;71;13;;;;202310-202312;15;15;3,67;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;15;15;3,93;202310-202312;15;15;3,87;202310-202312;15;15;3,40;202310-202312;15;15;4,27;202310-202312;15;Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Faglig vejledning fra din underviser;202310-202312;15;15;4,27;0,00;0,00;20,00;33,00;47,00;202310-202312;15;15;3,80;0,00;7,00;47,00;7,00;40,00;202310-202312;15;15;4,27;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;657419;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;657418;Erhvervsakademi MidtVest;657;Herning;1082;Midtjylland;202110-202409;13;8;;E2024F2025;14;300;0;202111-202311;32;75;6;6;13;Bygge og anlæg;Energiforsyning;Handel;Øvrige brancher;100;202104-202412;13;2;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;12,50;12,50;E2024F2025;0,00;75,00;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;281741;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;851454;Professionshøjskolen University College Nordjylland;851;Aalborg;1081;Nordjylland;202110-202409;53;26;;E2024F2025;54;240;0;202111-202311;43;72;12;7;9;Bygge og anlæg;Videnservice;Industri;Øvrige brancher;95;202104-202412;21;1;;202101-202312;6;39.900;35.500;44.400;Institutionstal for undergruppe: Tekniske område, EA;Ingen data;;;;Ingen data;;;;;;23;79;202310-202312;21;22;3,86;202310-202312;23;23;4,30;22;23;3,95;202310-202312;202310-202312;22;22;3,86;35,0;61;15;33,5;10;75;202310-202312;23;23;3,57;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;23;23;3,57;202310-202312;23;23;3,35;202310-202312;23;23;3,78;202310-202312;22;23;3,55;202310-202312;23;Projektarbejde (både individuelt og i grupper);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);E-læring (eksempelvis fjernundervisning);202310-202312;19;21;4,00;5,00;5,00;16,00;32,00;42,00;202310-202312;19;21;4,05;0,00;11,00;21,00;21,00;47,00;202310-202312;22;22;4,09;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;999999;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;999999;Uddannelsen på landsplan;;;;;202110-202409;155;17;;E2024F2025;28;282;0;202111-202311;196;69;17;3;11;Bygge og anlæg;Videnservice;Industri;Øvrige brancher;97;202104-202412;95;1;;202101-202312;28;48.450;42.150;51.250;;Ingen data;;;;Ingen data;;;;;;75;87;202310-202312;73;74;4,08;202310-202312;75;75;4,31;74;75;4,12;202310-202312;202310-202312;74;74;4,19;38,0;67;64;20,0;26;76;202310-202312;75;75;3,79;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;75;75;4,08;202310-202312;75;75;3,65;202310-202312;75;75;3,88;202310-202312;73;75;3,96;202310-202312;75;Klasseundervisning (holdundervisning);Projektarbejde (både individuelt og i grupper);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Faglig vejledning fra din underviser;202310-202312;69;73;4,26;3,00;3,00;13,00;28,00;54,00;202310-202312;71;73;3,83;0,00;14,00;27,00;21,00;38,00;202310-202312;74;74;4,18;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-administrationsoekonom;259405;www.ug.dk/erhvervsakademiuddannelser/samfundsfagligeakademiuddannelser/administrationsoekonom;512500;Administrationsøkonom;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;259404;Zealand Sjællands Erhvervsakademi;259;Køge;1085;Sjælland;202110-202409;64;31;;E2024F2025;50;243;0;202111-202311;384;17;16;13;55;Offentlig administration, forsvar og politi;Handel;Sundhed og socialvæsen;Øvrige brancher;67;202104-202412;49;14;;202101-202312;27;32.300;24.400;34.500;;202104-202412;27;6;;202101-202312;21;37.000;33.500;38.900;;17;44;202310-202312;12;12;3,58;202310-202312;15;15;4,13;15;15;3,80;202310-202312;202310-202312;12;12;3,50;36,0;57;11;;;;202310-202312;15;15;3,80;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;12;12;4,17;202310-202312;14;14;3,86;202310-202312;12;12;4,00;202310-202312;12;12;4,42;202310-202312;16;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Projektarbejde (både individuelt og i grupper);Forelæsninger;202310-202312;12;12;4,17;0,00;0,00;17,00;50,00;33,00;202310-202312;11;12;3,73;9,00;0,00;27,00;36,00;27,00;202310-202312;12;12;3,83;12;60;202310-202312;11;36;Jeg søgte og blev ansat efter et stillingsopslag;18;Jeg fik job gennem mit netværk;18;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave / projekt / speciale eller var i praktik;18;Jeg søgte uopfordret;202310-202312;11;73;0;27;0;0;0;0;202310-202312;11;37;202310-202312;11;Jeg har den uddannelse, som er en forudsætning for jobbet;Praktik (praktik, klinik eller projektorienteret forløb hos en offentlig eller privat virksomhed);Andre kompetencer;Netværk (fagligt, privat eller formaliseret med mentor eller lignende);De kompetencer, jeg fik fra uddannelsen;202310-202312;11;Min evne til at arbejde struktureret og overholde deadlines;Tilegnelse af ny viden;Praktiske færdigheder;Analytiske kompetencer;Kulturforståelse;202310-202312;11;11;3,64;202310-202312;11;11;4,00;202310-202312;11;0;100;0;;;;;;;;;;Ingen data;
udb2-administrationsoekonom;730403;www.ug.dk/erhvervsakademiuddannelser/samfundsfagligeakademiuddannelser/administrationsoekonom;512500;Administrationsøkonom;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;730401;Erhvervsakademi Dania;615;Horsens;1082;Midtjylland;202110-202409;45;22;;E2024F2025;38;255;0;202111-202311;178;24;16;12;48;Offentlig administration, forsvar og politi;Handel;Sundhed og socialvæsen;Øvrige brancher;56;202104-202412;51;17;;202101-202312;34;27.800;24.300;33.200;;Ingen data;;;;Ingen data;;;;;;15;60;202310-202312;15;15;3,53;202310-202312;15;15;3,80;15;15;3,67;202310-202312;202310-202312;15;15;3,67;43,5;69;13;;;;202310-202312;15;15;3,20;12,50;12,50;E2024F2025;0,00;75,00;202310-202312;15;15;3,87;202310-202312;15;15;3,60;202310-202312;15;15;3,07;202310-202312;13;15;3,54;202310-202312;15;Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);E-læring (eksempelvis fjernundervisning);Projektarbejde (både individuelt og i grupper);202310-202312;13;14;3,77;0,00;15,00;15,00;46,00;23,00;202310-202312;13;14;3,08;8,00;31,00;31,00;8,00;23,00;202310-202312;15;15;3,60;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
